Id;Namn;Dag 1;Dag 2;Dag 180;Dag 181;Dag 365;Dag 366
3835;Orbs;2019-04-03;2019-04-04;2019-09-30;2019-10-01;2020-04-02;2020-04-03
7044;ZYRO Chain;2020-09-14;2020-09-15;2021-03-13;2021-03-14;2021-09-14;2021-09-15
5919;Meter;2020-07-27;2020-07-28;2021-01-23;2021-01-24;2021-07-27;2021-07-28
6194;Geeq;2020-08-07;2020-08-08;2021-02-03;2021-02-04;2021-08-07;2021-08-08
5070;Tap;2019-12-24;2019-12-25;2020-06-21;2020-06-22;2020-12-23;2020-12-24
2321;QLC Chain;2017-12-29;2017-12-30;2018-06-27;2018-06-28;2018-12-29;2018-12-30
2601;1World;2018-03-21;2018-03-22;2018-09-17;2018-09-18;2019-03-21;2019-03-22
2709;Morpheus Infrastructure Token;2018-05-04;2018-05-05;2018-10-31;2018-11-01;2019-05-04;2019-05-05
2690;Biotron.io;2018-05-01;2018-05-02;2018-10-28;2018-10-29;2019-05-01;2019-05-02
5270;FreeCash;2020-03-09;2020-03-10;2020-09-05;2020-09-06;2021-03-09;2021-03-10
4273;SESSIA;2019-08-21;2019-08-22;2020-02-17;2020-02-18;2020-08-20;2020-08-21
2323;Hero;2018-01-02;2018-01-03;2018-07-01;2018-07-02;2019-01-02;2019-01-03
2305;NAGA;2017-12-23;2017-12-24;2018-06-21;2018-06-22;2018-12-23;2018-12-24
2306;Bread;2017-12-24;2017-12-25;2018-06-22;2018-06-23;2018-12-24;2018-12-25
5489;Sudan Gold Coin;2020-04-24;2020-04-25;2020-10-21;2020-10-22;2021-04-24;2021-04-25
3147;HYCON;2018-08-10;2018-08-11;2019-02-06;2019-02-07;2019-08-10;2019-08-11
2482;CPChain;2018-01-30;2018-01-31;2018-07-29;2018-07-30;2019-01-30;2019-01-31
4060;TrustVerse;2019-07-18;2019-07-19;2020-01-14;2020-01-15;2020-07-17;2020-07-18
2763;Morpheus Network;2018-05-22;2018-05-23;2018-11-18;2018-11-19;2019-05-22;2019-05-23
1708;Patientory;2017-06-06;2017-06-07;2017-12-03;2017-12-04;2018-06-06;2018-06-07
3993;Emanate;2019-06-05;2019-06-06;2019-12-02;2019-12-03;2020-06-04;2020-06-05
2478;CoinFi;2018-01-29;2018-01-30;2018-07-28;2018-07-29;2019-01-29;2019-01-30
2429;Mobius Network;2018-01-20;2018-01-21;2018-07-19;2018-07-20;2019-01-20;2019-01-21
2320;UTRUST;2017-12-29;2017-12-30;2018-06-27;2018-06-28;2018-12-29;2018-12-30
5587;2Key;2020-05-14;2020-05-15;2020-11-10;2020-11-11;2021-05-14;2021-05-15
2933;Bitmart;2018-07-13;2018-07-14;2019-01-09;2019-01-10;2019-07-13;2019-07-14
2606;Wanchain;2018-03-23;2018-03-24;2018-09-19;2018-09-20;2019-03-23;2019-03-24
4036;Contentos;2019-06-20;2019-06-21;2019-12-17;2019-12-18;2020-06-19;2020-06-20
2530;Fusion;2018-02-16;2018-02-17;2018-08-15;2018-08-16;2019-02-16;2019-02-17
2549;Ink Protocol;2018-02-28;2018-03-01;2018-08-27;2018-08-28;2019-02-28;2019-03-01
3866;CONUN;2019-04-17;2019-04-18;2019-10-14;2019-10-15;2020-04-16;2020-04-17
3690;Bulleon;2019-01-10;2019-01-11;2019-07-09;2019-07-10;2020-01-10;2020-01-11
4092;Dusk Network;2019-07-11;2019-07-12;2020-01-07;2020-01-08;2020-07-10;2020-07-11
